web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,image,image2,image3,image4,image5,image6,image7
"1786131472-1","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Serum Niacinamide, 30 ml","4,95 €","Marke: Balea; Produktname: Serum Niacinamide, 30 ml; Preis: 4,95 €; Grundpreis: 0,03 l (165,00 € je 1 l); Marke von dm Grafik; Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,03 l (165,00 € je 1 l)","Balea","(452)","Lieferbar","dm-Markt wählen","","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1779320767/assets/pas/images/b8d53735-f1a8-4ecb-83d9-ae4bc679c7ef/balea-serum-niacinamide","https://products.dm-static.com/images/f_auto,q_auto,c_fit,w_150/v1782977607/assets/mp/highlight-graphics/media_highlight_graphic_dm_brand_de_de/media_highlight_graphic_dm_brand_de_de","https://assets.dm.de/om/review-ui/assets/stars/StarEmpty2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
"1786131472-2","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Ampullen Beauty Hyaluron Lifting-Kur (7x1 ml), 7 ml","4,95 €","Marke: Balea; Produktname: Ampullen Beauty Hyaluron Lifting-Kur (7x1 ml), 7 ml; Preis: 4,95 €; Grundpreis: 0,007 l (707,14 € je 1 l); Marke von dm Grafik; Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,007 l (707,14 € je 1 l)","Balea","(94)","Lieferbar","dm-Markt wählen","","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1775779647/assets/pas/images/bde3b458-6ff8-4bb4-90b3-3ff9a77a2410/balea-ampullen-beauty-hyaluron-lifting-kur-7x1-ml","https://products.dm-static.com/images/f_auto,q_auto,c_fit,w_150/v1782977607/assets/mp/highlight-graphics/media_highlight_graphic_dm_brand_de_de/media_highlight_graphic_dm_brand_de_de","https://assets.dm.de/om/review-ui/assets/stars/StarEmpty2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
"1786131472-3","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Gesichtsserum Vitamin C, 30 ml","4,95 €","Marke: Balea; Produktname: Gesichtsserum Vitamin C, 30 ml; Preis: 4,95 €; Grundpreis: 0,03 l (165,00 € je 1 l); Marke von dm Grafik; Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,03 l (165,00 € je 1 l)","Balea","(380)","Lieferbar","dm-Markt wählen","","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1777420804/assets/pas/images/5d6ec125-3d7f-477b-8634-6844276a6eec/balea-gesichtsserum-vitamin-c","https://products.dm-static.com/images/f_auto,q_auto,c_fit,w_150/v1782977607/assets/mp/highlight-graphics/media_highlight_graphic_dm_brand_de_de/media_highlight_graphic_dm_brand_de_de","https://assets.dm.de/om/review-ui/assets/stars/StarEmpty2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
"1786131472-4","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Serum Beauty Expert Azelain Booster, 30 ml","5,95 €","Marke: Balea; Produktname: Serum Beauty Expert Azelain Booster, 30 ml; Preis: 5,95 €; Grundpreis: 0,03 l (198,33 € je 1 l); Marke von dm Grafik; Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,03 l (198,33 € je 1 l)","Balea","(253)","Lieferbar","dm-Markt wählen","Hinweise","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1774594477/assets/pas/images/8a1f336c-03b0-4d55-b5d9-ca5006275c9e/balea-serum-beauty-expert-azelain-booster","https://products.dm-static.com/images/f_auto,q_auto,c_fit,w_150/v1782977607/assets/mp/highlight-graphics/media_highlight_graphic_dm_brand_de_de/media_highlight_graphic_dm_brand_de_de","https://assets.dm.de/om/review-ui/assets/stars/StarEmpty2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
"1786131472-5","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Serum Pure Glycerine, 50 ml","13,95 €","Marke: Transparent Lab; Produktname: Serum Pure Glycerine, 50 ml; Preis: 13,95 €; Grundpreis: 0,05 l (279,00 € je 1 l); Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,05 l (279,00 € je 1 l)","Transparent Lab","(84)","Lieferbar","dm-Markt wählen","","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747525037/assets/pas/images/4f81690a-6099-4bb1-9aef-dc13b1dfd681/transparent-lab-serum-pure-glycerine","","","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
"1786131472-6","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Gesichtsserum Collagen Retinol, 30 ml","4,95 €","Marke: Balea; Produktname: Gesichtsserum Collagen Retinol, 30 ml; Preis: 4,95 €; Grundpreis: 0,03 l (165,00 € je 1 l); Marke von dm Grafik; Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,03 l (165,00 € je 1 l)","Balea","(230)","Lieferbar","dm-Markt wählen","","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1785537564/assets/pas/images/0ae029b9-f0a2-4bc8-af5f-a7af7be0165f/balea-gesichtsserum-collagen-retinol","https://products.dm-static.com/images/f_auto,q_auto,c_fit,w_150/v1782977607/assets/mp/highlight-graphics/media_highlight_graphic_dm_brand_de_de/media_highlight_graphic_dm_brand_de_de","https://assets.dm.de/om/review-ui/assets/stars/StarEmpty2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
"1786131472-7","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Gesichtsserum 101 A-Game-10 0.1% Retinal, 30 ml","18,35 €","Marke: Geek&Gorgeous; Produktname: Gesichtsserum 101 A-Game-10 0.1% Retinal, 30 ml; Preis: 18,35 €; Grundpreis: 0,03 l (611,67 € je 1 l); Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,03 l (611,67 € je 1 l)","Geek&Gorgeous","(76)","Lieferbar","dm-Markt wählen","","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747507907/assets/pas/images/4edef67e-318c-4c41-bf6f-1401595b1231/geek-und-gorgeous-gesichtsserum-101-a-game-10-0-1-prozent-retinal","","","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
"1786131472-8","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Serum 120h Hydration & Niacinamide, 20 ml","14,95 €","Marke: NØ cosmetics; Produktname: Serum 120h Hydration & Niacinamide, 20 ml; Preis: 14,95 €; Grundpreis: 0,02 l (747,50 € je 1 l); Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,02 l (747,50 € je 1 l)","NØ cosmetics","(388)","Lieferbar","dm-Markt wählen","","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747493366/assets/pas/images/a0b02fba-0a60-4c94-9187-41b45d32c0a2/no-cosmetics-serum-120h-hydration-und-niacinamide","","","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
"1786131472-9","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Serum Beauty Expert Glycerin, 30 ml","5,95 €","Marke: Balea; Produktname: Serum Beauty Expert Glycerin, 30 ml; Preis: 5,95 €; Grundpreis: 0,03 l (198,33 € je 1 l); Marke von dm Grafik; Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,03 l (198,33 € je 1 l)","Balea","(66)","Lieferbar","dm-Markt wählen","","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1765925726/assets/pas/images/84ec56bb-4c61-40f7-bac0-8092109996aa/balea-serum-beauty-expert-glycerin","https://products.dm-static.com/images/f_auto,q_auto,c_fit,w_150/v1782977607/assets/mp/highlight-graphics/media_highlight_graphic_dm_brand_de_de/media_highlight_graphic_dm_brand_de_de","","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
"1786131472-10","https://www.dm.de/pflege-und-parfum/gesichtspflege/serum-und-kur","","Gesichtsserum Beauty Hyaluron 7-fach, 30 ml","4,95 €","Marke: Balea; Produktname: Gesichtsserum Beauty Hyaluron 7-fach, 30 ml; Preis: 4,95 €; Grundpreis: 0,03 l (165,00 € je 1 l); Marke von dm Grafik; Verfügbarkeit: Status grün Lieferbar, Status grau dm-Markt wählen","0,03 l (165,00 € je 1 l)","Balea","(415)","Lieferbar","dm-Markt wählen","","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1776379854/assets/pas/images/62455c42-8f68-4231-bec1-77d813e18614/balea-gesichtsserum-beauty-hyaluron-7-fach","https://products.dm-static.com/images/f_auto,q_auto,c_fit,w_150/v1782977607/assets/mp/highlight-graphics/media_highlight_graphic_dm_brand_de_de/media_highlight_graphic_dm_brand_de_de","https://assets.dm.de/om/review-ui/assets/stars/StarEmpty2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg","https://assets.dm.de/om/review-ui/assets/stars/StarFilled2026.svg",""
