shop,brand,product,category,product_type,private_label,price_eur,volume_ml,price_per_100ml,rating,number_of_reviews,concern_acne,concern_sensitive,concern_dry,concern_oily,concern_anti_aging,concern_dark_spots,concern_redness,concern_dehydrated,active_ingredient
dm,L'ORÉAL PARiS,"Anti-Aging Gesichtsserum Le Duo mit Kollagen..., 30 ml",Serum,Other Serum,0,24.95,30.0,83.17,,5406,0,0,0,0,0,0,0,0,
dm,NIVEA,"Serum Intensiv Cellular Luminous 630 Anti..., 30 ml",Serum,Other Serum,0,28.45,30.0,94.83,,3379,0,0,0,0,0,0,0,0,
dm,Mixa,"Serum Anti-Hautstress, 30 ml",Serum,Other Serum,0,9.95,30.0,33.17,,2862,0,0,0,0,0,0,0,0,
dm,L'ORÉAL PARiS REVITALIFT,"Serum Revitalift Clinical Vitamin C & Vitamin E, 30 ml",Serum,Vitamin C Serum,0,19.95,30.0,66.5,,2269,0,0,0,0,0,0,0,0,
dm,Garnier Skin Active,"Serum Glow Booster, Vitamin C Anti-Dunkle-Flecken, 30 ml",Serum,Vitamin C Serum,0,11.95,30.0,39.83,,1228,0,0,0,0,0,0,0,0,
dm,Mixa,"Serum Anti-Unreinheiten, Niacinamide, 30 ml",Serum,Niacinamide Serum,0,13.95,30.0,46.5,,1029,0,0,0,0,0,0,0,0,
dm,L'ORÉAL PARiS,"Serum Midnight Age Perfect Zell-Renaissance..., 30 ml",Serum,Other Serum,0,19.95,30.0,66.5,,1003,0,0,0,0,0,0,0,0,
dm,L'ORÉAL PARiS,"Serum Anti Age Kollagen Experte, 30 ml",Serum,Other Serum,0,9.95,30.0,33.17,,886,0,0,0,0,0,0,0,0,
dm,NIVEA,"Serum Anti Falten Experte Q10 gezielter..., 15 ml",Serum,Other Serum,0,14.75,15.0,98.33,,885,0,0,0,0,0,0,0,0,
dm,NIVEA,"Anti Age Serum Cellular Luminous 630 Anti..., 30 ml",Serum,Other Serum,0,28.95,30.0,96.5,,723,0,0,0,0,0,0,0,0,
dm,L'ORÉAL PARiS,"Augencreme Anti-Tränensack Laser Sofort..., 15 ml",Serum,Other Serum,0,17.95,15.0,19.67,,658,0,0,0,0,0,0,0,0,
dm,Neutrogena,"Serum Retinol Boost, 30 ml",Serum,Retinol Serum,0,14.95,30.0,49.83,,617,0,0,0,0,0,0,0,0,
dm,L'ORÉAL PARiS,"Serum Age Perfect Anti Altersflecken, 30 ml",Serum,Other Serum,0,14.95,30.0,49.83,,615,0,0,0,0,0,0,0,0,
dm,Garnier Skin Active,"Nachtserum Glow Booster mit Vitamin C &..., 30 ml",Serum,Vitamin C Serum,0,14.95,30.0,49.83,,602,0,0,0,0,0,0,0,0,
dm,L'ORÉAL PARiS REVITALIFT,"Anti-Aging Laser Serum mit Tri-Peptiden,..., 30 ml",Serum,Other Serum,0,19.95,30.0,66.5,,513,0,0,0,0,0,0,0,0,
dm,NIVEA,"Q10 Anti-Falten Serum Dual Active, 30 ml",Serum,Other Serum,0,17.95,30.0,59.83,,494,0,0,0,0,0,0,0,0,
dm,Balea,"Serum Niacinamide, 30 ml",Serum,Niacinamide Serum,1,4.95,30.0,16.5,,452,0,0,0,0,0,0,0,0,
dm,Balea,"Serum Beauty Expert Calming, 30 ml",Serum,Other Serum,1,5.95,30.0,19.83,,424,0,0,0,0,0,0,0,0,
dm,Balea,"Serum Feuchtigkeit Aqua, 30 ml",Serum,Other Serum,1,2.95,30.0,9.83,,422,0,0,0,0,0,0,0,0,
dm,L'ORÉAL PARiS,"Anti Age Gesichtsserum Revitalift Laser Dreifach..., 50 ml",Serum,Other Serum,0,19.95,50.0,39.9,,420,0,0,0,0,0,0,0,0,
dm,Garnier Skin Active,"Serum Anti-Unreinheiten AHA + BHA Kohle, 30 ml",Serum,Peeling / Acid Serum,0,9.95,30.0,33.17,,416,0,0,0,0,0,0,0,0,
dm,Balea,"Gesichtsserum Beauty Hyaluron 7-fach, 30 ml",Serum,Hyaluron Serum,1,4.95,30.0,16.5,,415,0,0,0,0,0,0,0,0,
dm,Neutrogena,"Serum Hydro Boost Pures Hyaluron, 30 ml",Serum,Hyaluron Serum,0,11.75,30.0,39.17,,413,0,0,0,0,0,0,0,0,
dm,NØ cosmetics,"Serum 120h Hydration & Niacinamide, 20 ml",Serum,Niacinamide Serum,0,14.95,20.0,74.75,,388,0,0,0,0,0,0,0,0,
dm,Garnier Skin Active,"Serum Hyaluron Aloe Hydra Booster, 30 ml",Serum,Hyaluron Serum,0,9.95,30.0,33.17,,386,0,0,0,0,0,0,0,0,
dm,Balea,"Gesichtsserum Vitamin C, 30 ml",Serum,Vitamin C Serum,1,4.95,30.0,16.5,,380,0,0,0,0,0,0,0,0,
dm,Beauty of Joseon,"Serum Ginseng & Retinal, 30 ml",Serum,Other Serum,0,18.95,30.0,63.17,,333,0,0,0,0,0,0,0,0,
dm,alverde NATURKOSMETIK,"Gesichtsöl Wildrose, 15 ml",Serum,Other Serum,1,3.45,15.0,23.0,,330,0,0,0,0,0,0,0,0,
dm,NØ cosmetics,"Serum Retinol, 20 ml",Serum,Retinol Serum,0,16.95,20.0,84.75,,325,0,0,0,0,0,0,0,0,
dm,L'ORÉAL PARiS REVITALIFT,"Anti Age Fluid Revitalift Laser X3, 30 ml",Serum,Other Serum,0,13.95,30.0,46.5,,312,0,0,0,0,0,0,0,0,
