shop,brand,product,category,product_type,private_label,price_eur,volume_ml,price_per_100ml,rating,number_of_reviews,concern_acne,concern_sensitive,concern_dry,concern_oily,concern_anti_aging,concern_dark_spots,concern_redness,concern_dehydrated,active_ingredient,
dm,L'ORÉAL PARiS,"Anti-Aging Gesichtsserum Le Duo mit Kollagen..., 30 ml",Serum,Anti-Aging / Retinol Serum,0,24.95,30,83.17,4.7,5406,0,0,0,0,1,1,0,0,"Kollagen-AS, Vitamin B3, Vitamin Cg",商品ページを開く
dm,NIVEA,"Serum Intensiv Cellular Luminous 630 Anti..., 30 ml",Serum,Other Serum,0,28.45,30,94.83,4.5,3379,0,0,0,0,0,1,0,0,"LUMINOUS630, Thiamidol",商品ページを開く
dm,Mixa,"Serum Anti-Hautstress, 30 ml",Serum,Barrier / Soothing Serum,0,9.95,30,33.17,4.8,2862,0,1,0,0,0,0,1,0,"Panthenol, natürlichem Bisabolol",商品ページを開く
dm,L'ORÉAL PARiS REVITALIFT,"Serum Revitalift Clinical Vitamin C & Vitamin E, 30 ml",Serum,Vitamin C Serum,0,19.95,30,66.5,4.7,2269,0,1,0,0,1,0,0,0,"Vitamin C, Vitamin E, Salicylsäure",商品ページを開く
dm,Garnier Skin Active,"Serum Glow Booster, Vitamin C Anti-Dunkle-Flecken, 30 ml",Serum,Vitamin C Serum,0,11.95,30,39.83,4.5,1228,0,0,1,0,0,1,0,0,"Niacinamid, Vitamin C, Salicylsäure, Melasyl",商品ページを開く
dm,Mixa,"Serum Anti-Unreinheiten, Niacinamide, 30 ml",Serum,Niacinamide Serum,0,13.95,30,46.5,4.7,1029,1,0,0,0,0,1,0,0,"Salicylsäure,  Niacinamid",商品ページを開く
dm,L'ORÉAL PARiS,"Serum Midnight Age Perfect Zell-Renaissance..., 30 ml",Serum,Anti-Aging / Retinol Serum,0,19.95,30,66.5,4.7,1003,0,1,0,0,1,0,0,0,Antioxidantien-Regenerations-Formel,商品ページを開く
dm,L'ORÉAL PARiS,"Serum Anti Age Kollagen Experte, 30 ml",Serum,Anti-Aging / Retinol Serum,0,9.95,30,33.17,4.6,886,0,1,0,0,1,0,0,0,"Kollagen-Peptid-Fraktionen, Glycerin, Vitamin C",商品ページを開く
dm,NIVEA,"Serum Anti Falten Experte Q10 gezielter..., 15 ml",Serum,Anti-Aging / Retinol Serum,0,14.75,15,98.33,4.5,885,0,0,0,0,1,0,0,0,"Q10, Bioxifill Peptiden",商品ページを開く
dm,NIVEA,"Anti Age Serum Cellular Luminous 630 Anti..., 30 ml",Serum,Anti-Aging / Retinol Serum,0,28.95,30,96.5,4.5,723,0,1,0,0,1,1,0,0,"Kollagen-Booster, Thiamidol",商品ページを開く
dm,L'ORÉAL PARiS,"Augencreme Anti-Tränensack Laser Sofort..., 15 ml",Serum,Other Serum,0,17.95,15,19.67,3.9,658,0,0,0,0,1,0,0,0,Gel-zu-Tape-Technologie,商品ページを開く
dm,Neutrogena,"Serum Retinol Boost, 30 ml",Serum,Anti-Aging / Retinol Serum,0,14.95,30,49.83,4.6,617,0,0,1,0,1,1,0,0,"Retinol, Myrtenblatt-Extrakt, Hyaluronsäure",商品ページを開く
dm,L'ORÉAL PARiS,"Serum Age Perfect Anti Altersflecken, 30 ml",Serum,Anti-Aging / Retinol Serum,0,14.95,30,49.83,4.3,615,0,0,0,0,1,1,0,0,Niacinamid,商品ページを開く
dm,Garnier Skin Active,"Nachtserum Glow Booster mit Vitamin C &..., 30 ml",Serum,Vitamin C Serum,0,14.95,30,49.83,4.5,602,0,0,0,0,1,1,0,0,"Vitamin C, Hyaluronsäure",商品ページを開く
dm,L'ORÉAL PARiS REVITALIFT,"Anti-Aging Laser Serum mit Tri-Peptiden,..., 30 ml",Serum,Anti-Aging / Retinol Serum,0,19.95,30,66.5,4.6,513,0,0,0,0,1,1,0,0,"Tri-Peptiden, Hyaluronsäure, Vitamin C",商品ページを開く
dm,NIVEA,"Q10 Anti-Falten Serum Dual Active, 30 ml",Serum,Other Serum,0,17.95,30,59.83,4.6,494,0,0,0,0,1,0,0,0,Q10,商品ページを開く
dm,Balea,"Serum Niacinamide, 30 ml",Serum,Niacinamide Serum,1,4.95,30,16.5,4,452,0,0,0,1,1,0,0,0,"Niacinamide, Zink",商品ページを開く
dm,Balea,"Serum Beauty Expert Calming, 30 ml",Serum,Barrier / Soothing Serum,1,5.95,30,19.83,3.9,424,0,1,1,0,0,0,1,0,"Ceramide-Komplex, Phospholipide",商品ページを開く
dm,Balea,"Serum Feuchtigkeit Aqua, 30 ml",Serum,Hyaluron / Hydration Serum,1,2.95,30,9.83,4.1,422,0,0,1,0,0,0,0,0,"Hyaluronsäure, Aquaxyl",商品ページを開く
